,3000,5000
1067,0.075,0.05
1068,0.075,0.05
1069,0.075,0.05
1070,0.075,0.05
1071,0.075,0.05
1072,0.075,0.05
1073,0.075,0.05
1074,0.075,0.05
1075,0.075,0.05
1076,0.075,0.05
1077,0.075,0.05
1078,0.075,0.05
1079,0.075,0.05
1080,0.075,0.05
1081,0.075,0.05
1082,0.075,0.05
1083,0.075,0.05
1084,0.075,0.05
1085,0.075,0.05
1086,0.075,0.05
1087,0.075,0.05
1088,0.075,0.05
1089,0.075,0.05
1090,0.075,0.05
1091,0.075,0.05
1092,0.075,0.05
1093,0.075,0.05
1094,0.075,0.05
1095,0.075,0.05
1096,0.075,0.05
1097,0.075,0.05
1098,0.075,0.05
1099,0.075,0.05
1100,0.075,0.05
1101,0.075,0.05
1102,0.075,0.05
1103,0.075,0.05
1104,0.075,0.04
1105,0.075,0.04
1106,0.075,0.04
1107,0.075,0.04
1108,0.075,0.04
1109,0.075,0.04
1110,0.075,0.04
1111,0.075,0.04
1112,0.075,0.04
1113,0.075,0.04
1114,0.075,0.04
1115,0.075,0.04
1116,0.075,0.04
1117,0.075,0.04
1118,0.075,0.04
1119,0.075,0.04
1120,0.075,0.04
1121,0.075,0.04
1122,0.075,0.035
1123,0.075,0.035
1124,0.075,0.035
1125,0.075,0.035
1126,0.075,0.035
1127,0.075,0.035
1128,0.075,0.035
1129,0.075,0.035
1130,0.075,0.035
1131,0.075,0.035
1132,0.075,0.035
1133,0.075,0.035
1134,0.075,0.035
1135,0.075,0.035
1136,0.075,0.035
1137,0.075,0.035
1138,0.075,0.035
1139,0.075,0.035
1140,0.075,0.035
1141,0.075,0.035
1142,0.075,0.035
1143,0.075,0.035
1144,0.075,0.035
1145,0.075,0.035
1146,0.075,0.035
1147,0.075,0.035
1148,0.075,0.035
1149,0.075,0.035
1150,0.075,0.035
1151,0.075,0.03
1152,0.075,0.03
1153,0.075,0.03
1154,0.075,0.03
1155,0.075,0.03
1156,0.07,0.03
1157,0.07,0.03
1158,0.07,0.03
1159,0.07,0.03
1160,0.07,0.03
1161,0.07,0.03
1162,0.07,0.03
1163,0.07,0.03
1164,0.07,0.03
1165,0.07,0.03
1166,0.07,0.03
1167,0.07,0.03
1168,0.07,0.03
1169,0.07,0.03
1170,0.07,0.03
1171,0.065,0.03
1172,0.065,0.03
1173,0.065,0.03
1174,0.065,0.03
1175,0.065,0.03
1176,0.065,0.03
1177,0.065,0.03
1178,0.065,0.03
1179,0.065,0.03
1180,0.065,0.03
1181,0.065,0.03
1182,0.065,0.03
1183,0.065,0.03
1184,0.065,0.03
1185,0.065,0.03
1186,0.065,0.03
1187,0.065,0.03
1188,0.065,0.03
1189,0.065,0.03
1190,0.065,0.03
1191,0.065,0.03
1192,0.065,0.03
1193,0.065,0.03
1194,0.065,0.03
1195,0.065,0.03
1196,0.065,0.03
1197,0.065,0.03
1198,0.065,0.03
1199,0.065,0.03
1200,0.065,0.03
1201,0.065,0.03
1202,0.065,0.03
1203,0.065,0.03
1204,0.065,0.03
1205,0.065,0.03
1206,0.065,0.03
1207,0.065,0.03
1208,0.065,0.03
1209,0.065,0.03
1210,0.065,0.03
1211,0.065,0.03
1212,0.065,0.03
1213,0.065,0.03
1214,0.065,0.03
1215,0.065,0.03
1216,0.065,0.03
1217,0.065,0.03
1218,0.065,0.03
1219,0.065,0.03
1220,0.065,0.03
1221,0.065,0.03
1222,0.065,0.03
1223,0.065,0.03
1224,0.065,0.03
1225,0.065,0.03
1226,0.065,0.03
1227,0.065,0.03
1228,0.065,0.03
1229,0.065,0.03
1230,0.065,0.03
1231,0.065,0.03
1232,0.065,0.03
1233,0.065,0.03
1234,0.065,0.03
1235,0.065,0.03
1236,0.065,0.03
1237,0.065,0.03
1238,0.065,0.03
1239,0.065,0.03
1240,0.065,0.03
1241,0.065,0.03
1242,0.065,0.03
1243,0.065,0.025
1244,0.065,0.025
1245,0.065,0.025
1246,0.065,0.025
1247,0.065,0.025
1248,0.065,0.025
1249,0.065,0.025
1250,0.065,0.025
1251,0.065,0.025
1252,0.065,0.025
1253,0.065,0.025
1254,0.065,0.025
1255,0.065,0.025
1256,0.065,0.025
1257,0.065,0.02
1258,0.065,0.02
1259,0.065,0.02
1260,0.065,0.02
1261,0.065,0.02
1262,0.065,0.02
1263,0.065,0.02
1264,0.065,0.02
1265,0.065,0.02
1266,0.065,0.02
1267,0.065,0.02
1268,0.065,0.02
1269,0.065,0.02
1270,0.065,0.02
1271,0.065,0.02
1272,0.065,0.02
1273,0.065,0.02
1274,0.065,0.02
1275,0.065,0.02
1276,0.065,0.02
1277,0.065,0.02
1278,0.065,0.02
1279,0.065,0.02
1280,0.065,0.02
1281,0.065,0.02
1282,0.065,0.02
1283,0.065,0.02
1284,0.065,0.02
1285,0.065,0.02
1286,0.065,0.02
1287,0.065,0.02
1288,0.065,0.02
1289,0.065,0.02
1290,0.065,0.02
1291,0.065,0.02
1292,0.065,0.02
1293,0.065,0.02
1294,0.065,0.02
1295,0.065,0.02
1296,0.065,0.02
1297,0.065,0.02
1298,0.065,0.02
1299,0.065,0.02
1300,0.065,0.02
1301,0.065,0.02
1302,0.065,0.015
1303,0.065,0.015
1304,0.065,0.015
1305,0.065,0.015
1306,0.065,0.015
1307,0.065,0.015
1308,0.065,0.015
1309,0.065,0.015
1310,0.065,0.015
1311,0.065,0.015
1312,0.065,0.015
1313,0.065,0.015
1314,0.065,0.015
1315,0.065,0.015
1316,0.065,0.015
1317,0.065,0.015
1318,0.065,0.015
1319,0.065,0.015
1320,0.065,0.015
1321,0.065,0.015
1322,0.065,0.015
1323,0.065,0.015
1324,0.065,0.015
1325,0.065,0.015
1326,0.065,0.015
1327,0.065,0.015
1328,0.065,0.015
1329,0.065,0.015
1330,0.065,0.015
1331,0.065,0.015
1332,0.065,0.015
1333,0.065,0.015
1334,0.065,0.015
1335,0.06,0.015
1336,0.06,0.015
1337,0.06,0.015
1338,0.06,0.015
1339,0.06,0.015
1340,0.06,0.015
1341,0.06,0.015
1342,0.06,0.015
1343,0.06,0.015
1344,0.06,0.015
1345,0.06,0.015
1346,0.06,0.015
1347,0.06,0.015
1348,0.06,0.015
1349,0.06,0.015
1350,0.06,0.015
1351,0.06,0.015
1352,0.06,0.015
1353,0.06,0.015
1354,0.06,0.015
1355,0.06,0.015
1356,0.06,0.015
1357,0.06,0.015
1358,0.06,0.015
1359,0.06,0.015
